Human	Homo sapiens	Dec 2013	hg38	Reference species
Nile tilapia	Oreochromis niloticus	Jan 2011	oreNil2	Net	
Princess of Burundi	Neolamprologus brichardi	May 2011	neoBri1	Net	
Burton's mouthbreeder	Haplochromis burtoni	Oct 2011	hapBur1	Net	
Zebra mbuna	Maylandia zebra	Mar 2012	mayZeb1	Net	
Pundamilia nyererei	Pundamilia nyererei	Oct 2011	punNye1	Net	
Medaka	Oryzias latipes	Oct 2005	oryLat2	Net	
Southern platyfish	Xiphophorus maculatus	Jan 2012	xipMac1	Net	
Stickleback	Gasterosteus aculeatus	Feb 2006	gasAcu1	Net	
Atlantic cod	Gadus morhua	May 2010	gadMor1	Net	
Zebrafish	Danio rerio	Sep 2014	danRer10	Net	
Mexican tetra (cavefish)	Astyanax mexicanus	Apr 2013	astMex1	Net	
Spotted gar	Lepisosteus oculatus	Dec 2011	lepOcu1	Net	
Lamprey	Petromyzon marinus	Sep 2010	petMar2	Net	

